Type	Size	Time(microsec)	Comparisons
random	100	0	4950
random	200	999	19900
random	300	0	44850
random	400	999	79800
random	500	1010	124750
random	600	1000	179700
random	700	2002	244650
random	800	1082	319600
random	900	2037	404550
random	1000	573	499500
random	1100	5497	604450
random	1200	3067	719400
random	1300	4983	844350
random	1400	5244	979300
random	1500	5179	1124250
random	1600	5976	1279200
random	1700	5009	1444150
random	1800	7731	1619100
random	1900	0	1804050
random	2000	17145	1999000
random	2100	18979	2203950
random	2200	13982	2418900
random	2300	0	2643850
random	2400	6265	2878800
random	2500	15249	3123750
random	2600	14699	3378700
random	2700	16752	3643650
random	2800	29731	3918600
random	2900	20054	4203550
random	3000	13328	4498500
random	3100	35295	4803450
random	3200	36387	5118400
random	3300	26349	5443350
random	3400	24660	5778300
random	3500	32613	6123250
random	3600	33378	6478200
random	3700	33250	6843150
random	3800	44615	7218100
random	3900	49477	7603050
random	4000	42883	7998000
random	4100	44680	8402950
random	4200	49875	8817900
random	4300	44541	9242850
random	4400	68291	9677800
random	4500	49280	10122750
random	4600	64165	10577700
random	4700	50137	11042650
random	4800	66363	11517600
random	4900	68403	12002550
random	5000	65807	12497500
random	5100	65802	13002450
random	5200	66702	13517400
random	5300	69490	14042350
random	5400	83395	14577300
random	5500	84273	15122250
random	5600	81429	15677200
random	5700	83534	16242150
random	5800	83188	16817100
random	5900	83683	17402050
random	6000	103280	17997000
random	6100	97076	18601950
random	6200	95940	19216900
random	6300	97187	19841850
random	6400	111365	20476800
random	6500	116688	21121750
random	6600	114389	21776700
random	6700	116437	22441650
random	6800	125504	23116600
random	6900	122058	23801550
random	7000	117747	24496500
random	7100	133544	25201450
random	7200	132145	25916400
random	7300	148271	26641350
random	7400	133791	27376300
random	7500	165856	28121250
random	7600	169081	28876200
random	7700	145500	29641150
random	7800	150989	30416100
random	7900	165840	31201050
random	8000	198739	31996000
random	8100	187747	32800950
random	8200	187582	33615900
random	8300	195780	34440850
random	8400	199300	35275800
random	8500	185507	36120750
random	8600	198418	36975700
random	8700	214649	37840650
random	8800	201183	38715600
random	8900	231712	39600550
random	9000	235011	40495500
random	9100	231493	41400450
random	9200	269677	42315400
random	9300	261025	43240350
random	9400	242009	44175300
random	9500	243148	45120250
random	9600	257727	46075200
random	9700	257824	47040150
random	9800	274004	48015100
random	9900	257684	49000050
random	10000	291046	49995000
random	10100	305686	50999950
random	10200	273993	52014900
random	10300	279041	53039850
random	10400	291156	54074800
random	10500	322608	55119750
random	10600	316816	56174700
random	10700	327098	57239650
random	10800	338729	58314600
random	10900	335068	59399550
random	11000	342255	60494500
random	11100	321848	61599450
random	11200	337118	62714400
random	11300	360370	63839350
random	11400	348361	64974300
random	11500	369903	66119250
random	11600	361528	67274200
random	11700	368485	68439150
random	11800	367876	69614100
random	11900	391669	70799050
random	12000	408304	71994000
random	12100	414114	73198950
random	12200	400920	74413900
random	12300	423397	75638850
random	12400	454671	76873800
random	12500	438697	78118750
random	12600	462363	79373700
random	12700	466559	80638650
random	12800	466778	81913600
random	12900	468835	83198550
random	13000	503153	84493500
random	13100	485296	85798450
random	13200	486610	87113400
random	13300	517376	88438350
random	13400	502073	89773300
random	13500	564347	91118250
random	13600	548797	92473200
random	13700	548093	93838150
random	13800	564598	95213100
random	13900	564793	96598050
random	14000	563852	97993000
random	14100	579405	99397950
random	14200	595974	100812900
random	14300	598648	102237850
random	14400	606386	103672800
random	14500	610446	105117750
random	14600	611881	106572700
random	14700	626589	108037650
random	14800	643057	109512600
random	14900	659706	110997550
random	15000	704214	112492500
random	15100	673180	113997450
random	15200	707605	115512400
random	15300	688722	117037350
random	15400	689423	118572300
random	15500	707040	120117250
random	15600	720525	121672200
random	15700	705483	123237150
random	15800	738464	124812100
random	15900	750493	126397050
random	16000	761620	127992000
random	16100	787007	129596950
random	16200	789358	131211900
random	16300	775014	132836850
random	16400	802862	134471800
random	16500	807696	136116750
random	16600	800906	137771700
random	16700	813601	139436650
random	16800	851453	141111600
random	16900	873280	142796550
random	17000	847720	144491500
random	17100	880085	146196450
random	17200	874980	147911400
random	17300	894654	149636350
random	17400	896663	151371300
random	17500	924364	153116250
random	17600	906780	154871200
random	17700	926235	156636150
random	17800	954873	158411100
random	17900	972690	160196050
random	18000	971203	161991000
random	18100	971467	163795950
random	18200	988387	165610900
random	18300	1004208	167435850
random	18400	1018595	169270800
random	18500	1019555	171115750
random	18600	1035348	172970700
random	18700	1049876	174835650
random	18800	1067537	176710600
random	18900	1079944	178595550
random	19000	1097709	180490500
random	19100	1112616	182395450
random	19200	1097320	184310400
random	19300	1114597	186235350
random	19400	1158917	188170300
random	19500	1177105	190115250
random	19600	1160593	192070200
random	19700	1190494	194035150
random	19800	1223985	196010100
random	19900	1191488	197995050
random	20000	1208040	199990000
increasing	100	0	4950
increasing	200	0	19900
increasing	300	0	44850
increasing	400	0	79800
increasing	500	0	124750
increasing	600	0	179700
increasing	700	0	244650
increasing	800	0	319600
increasing	900	10384	404550
increasing	1000	1638	499500
increasing	1100	2037	604450
increasing	1200	1089	719400
increasing	1300	2952	844350
increasing	1400	1995	979300
increasing	1500	1000	1124250
increasing	1600	4972	1279200
increasing	1700	3642	1444150
increasing	1800	4666	1619100
increasing	1900	2999	1804050
increasing	2000	0	1999000
increasing	2100	11461	2203950
increasing	2200	4839	2418900
increasing	2300	6037	2643850
increasing	2400	5962	2878800
increasing	2500	10333	3123750
increasing	2600	0	3378700
increasing	2700	18270	3643650
increasing	2800	9289	3918600
increasing	2900	1510	4203550
increasing	3000	16336	4498500
increasing	3100	16536	4803450
increasing	3200	0	5118400
increasing	3300	19884	5443350
increasing	3400	13518	5778300
increasing	3500	16549	6123250
increasing	3600	16847	6478200
increasing	3700	16609	6843150
increasing	3800	15616	7218100
increasing	3900	15786	7603050
increasing	4000	16851	7998000
increasing	4100	12911	8402950
increasing	4200	22395	8817900
increasing	4300	10966	9242850
increasing	4400	50692	9677800
increasing	4500	33113	10122750
increasing	4600	20042	10577700
increasing	4700	27512	11042650
increasing	4800	22017	11517600
increasing	4900	29234	12002550
increasing	5000	19573	12497500
increasing	5100	33743	13002450
increasing	5200	27105	13517400
increasing	5300	38495	14042350
increasing	5400	33938	14577300
increasing	5500	33183	15122250
increasing	5600	33408	15677200
increasing	5700	32968	16242150
increasing	5800	44706	16817100
increasing	5900	38785	17402050
increasing	6000	33728	17997000
increasing	6100	46585	18601950
increasing	6200	34968	19216900
increasing	6300	49817	19841850
increasing	6400	44532	20476800
increasing	6500	38614	21121750
increasing	6600	38508	21776700
increasing	6700	47973	22441650
increasing	6800	48897	23116600
increasing	6900	50364	23801550
increasing	7000	49633	24496500
increasing	7100	49984	25201450
increasing	7200	66152	25916400
increasing	7300	50072	26641350
increasing	7400	67239	27376300
increasing	7500	49514	28121250
increasing	7600	51683	28876200
increasing	7700	66755	29641150
increasing	7800	66863	30416100
increasing	7900	66269	31201050
increasing	8000	66874	31996000
increasing	8100	82979	32800950
increasing	8200	66316	33615900
increasing	8300	82237	34440850
increasing	8400	72795	35275800
increasing	8500	73050	36120750
increasing	8600	86028	36975700
increasing	8700	80372	37840650
increasing	8800	99504	38715600
increasing	8900	101188	39600550
increasing	9000	101798	40495500
increasing	9100	104864	41400450
increasing	9200	108448	42315400
increasing	9300	109442	43240350
increasing	9400	115115	44175300
increasing	9500	100986	45120250
increasing	9600	96623	46075200
increasing	9700	101375	47040150
increasing	9800	104682	48015100
increasing	9900	101972	49000050
increasing	10000	104323	49995000
increasing	10100	107052	50999950
increasing	10200	108233	52014900
increasing	10300	114159	53039850
increasing	10400	114215	54074800
increasing	10500	99083	55119750
increasing	10600	115087	56174700
increasing	10700	119322	57239650
increasing	10800	133413	58314600
increasing	10900	117717	59399550
increasing	11000	116873	60494500
increasing	11100	133699	61599450
increasing	11200	131479	62714400
increasing	11300	132223	63839350
increasing	11400	133868	64974300
increasing	11500	134976	66119250
increasing	11600	163674	67274200
increasing	11700	136230	68439150
increasing	11800	161509	69614100
increasing	11900	148843	70799050
increasing	12000	154924	71994000
increasing	12100	158798	73198950
increasing	12200	162033	74413900
increasing	12300	158257	75638850
increasing	12400	157763	76873800
increasing	12500	148546	78118750
increasing	12600	168253	79373700
increasing	12700	184515	80638650
increasing	12800	164086	81913600
increasing	12900	181215	83198550
increasing	13000	169643	84493500
increasing	13100	181423	85798450
increasing	13200	181994	87113400
increasing	13300	184504	88438350
increasing	13400	184541	89773300
increasing	13500	198990	91118250
increasing	13600	239295	92473200
increasing	13700	201841	93838150
increasing	13800	201208	95213100
increasing	13900	195510	96598050
increasing	14000	201075	97993000
increasing	14100	199953	99397950
increasing	14200	232207	100812900
increasing	14300	204034	102237850
increasing	14400	213738	103672800
increasing	14500	216521	105117750
increasing	14600	233873	106572700
increasing	14700	231816	108037650
increasing	14800	232300	109512600
increasing	14900	234383	110997550
increasing	15000	252391	112492500
increasing	15100	246490	113997450
increasing	15200	239994	115512400
increasing	15300	257881	117037350
increasing	15400	244045	118572300
increasing	15500	242487	120117250
increasing	15600	264760	121672200
increasing	15700	249639	123237150
increasing	15800	278034	124812100
increasing	15900	268075	126397050
increasing	16000	270625	127992000
increasing	16100	278468	129596950
increasing	16200	278026	131211900
increasing	16300	292001	132836850
increasing	16400	288504	134471800
increasing	16500	293270	136116750
increasing	16600	301066	137771700
increasing	16700	299949	139436650
increasing	16800	284226	141111600
increasing	16900	295324	142796550
increasing	17000	304950	144491500
increasing	17100	306334	146196450
increasing	17200	309748	147911400
increasing	17300	317332	149636350
increasing	17400	324592	151371300
increasing	17500	322023	153116250
increasing	17600	321044	154871200
increasing	17700	328401	156636150
increasing	17800	333808	158411100
increasing	17900	326244	160196050
increasing	18000	340377	161991000
increasing	18100	350070	163795950
increasing	18200	344737	165610900
increasing	18300	339119	167435850
increasing	18400	365424	169270800
increasing	18500	360947	171115750
increasing	18600	372773	172970700
increasing	18700	366397	174835650
increasing	18800	373628	176710600
increasing	18900	376716	178595550
increasing	19000	367441	180490500
increasing	19100	385288	182395450
increasing	19200	392098	184310400
increasing	19300	388465	186235350
increasing	19400	398504	188170300
increasing	19500	450949	190115250
increasing	19600	408767	192070200
increasing	19700	423876	194035150
increasing	19800	415123	196010100
increasing	19900	417307	197995050
increasing	20000	419975	199990000
decreasing	100	0	4950
decreasing	200	0	19900
decreasing	300	0	44850
decreasing	400	0	79800
decreasing	500	0	124750
decreasing	600	0	179700
decreasing	700	9632	244650
decreasing	800	1383	319600
decreasing	900	2008	404550
decreasing	1000	3568	499500
decreasing	1100	3993	604450
decreasing	1200	0	719400
decreasing	1300	10126	844350
decreasing	1400	462	979300
decreasing	1500	11112	1124250
decreasing	1600	7177	1279200
decreasing	1700	0	1444150
decreasing	1800	16448	1619100
decreasing	1900	14301	1804050
decreasing	2000	5108	1999000
decreasing	2100	13108	2203950
decreasing	2200	13379	2418900
decreasing	2300	16989	2643850
decreasing	2400	16781	2878800
decreasing	2500	16390	3123750
decreasing	2600	18761	3378700
decreasing	2700	20559	3643650
decreasing	2800	12288	3918600
decreasing	2900	36580	4203550
decreasing	3000	17140	4498500
decreasing	3100	22472	4803450
decreasing	3200	33577	5118400
decreasing	3300	27268	5443350
decreasing	3400	38531	5778300
decreasing	3500	33442	6123250
decreasing	3600	43780	6478200
decreasing	3700	38969	6843150
decreasing	3800	44319	7218100
decreasing	3900	38722	7603050
decreasing	4000	50038	7998000
decreasing	4100	44526	8402950
decreasing	4200	55142	8817900
decreasing	4300	59953	9242850
decreasing	4400	50114	9677800
decreasing	4500	55463	10122750
decreasing	4600	49876	10577700
decreasing	4700	66427	11042650
decreasing	4800	66761	11517600
decreasing	4900	66690	12002550
decreasing	5000	83106	12497500
decreasing	5100	66821	13002450
decreasing	5200	86904	13517400
decreasing	5300	83009	14042350
decreasing	5400	82871	14577300
decreasing	5500	73005	15122250
decreasing	5600	100145	15677200
decreasing	5700	90214	16242150
decreasing	5800	93838	16817100
decreasing	5900	91284	17402050
decreasing	6000	114706	17997000
decreasing	6100	113781	18601950
decreasing	6200	106377	19216900
decreasing	6300	109424	19841850
decreasing	6400	116977	20476800
decreasing	6500	130630	21121750
decreasing	6600	115949	21776700
decreasing	6700	131866	22441650
decreasing	6800	133848	23116600
decreasing	6900	149023	23801550
decreasing	7000	151025	24496500
decreasing	7100	145240	25201450
decreasing	7200	148938	25916400
decreasing	7300	149997	26641350
decreasing	7400	164166	27376300
decreasing	7500	167848	28121250
decreasing	7600	166909	28876200
decreasing	7700	168857	29641150
decreasing	7800	181671	30416100
decreasing	7900	181369	31201050
decreasing	8000	201154	31996000
decreasing	8100	197764	32800950
decreasing	8200	199531	33615900
decreasing	8300	200253	34440850
decreasing	8400	248575	35275800
decreasing	8500	220394	36120750
decreasing	8600	213676	36975700
decreasing	8700	233847	37840650
decreasing	8800	209764	38715600
decreasing	8900	217697	39600550
decreasing	9000	246313	40495500
decreasing	9100	235507	41400450
decreasing	9200	235446	42315400
decreasing	9300	249019	43240350
decreasing	9400	271072	44175300
decreasing	9500	261460	45120250
decreasing	9600	284072	46075200
decreasing	9700	281875	47040150
decreasing	9800	282579	48015100
decreasing	9900	300190	49000050
decreasing	10000	298595	49995000
decreasing	10100	295295	50999950
decreasing	10200	304557	52014900
decreasing	10300	306847	53039850
decreasing	10400	325590	54074800
decreasing	10500	317770	55119750
decreasing	10600	329384	56174700
decreasing	10700	336718	57239650
decreasing	10800	351148	58314600
decreasing	10900	363070	59399550
decreasing	11000	351921	60494500
decreasing	11100	369413	61599450
decreasing	11200	359733	62714400
decreasing	11300	370003	63839350
decreasing	11400	381869	64974300
decreasing	11500	392887	66119250
decreasing	11600	392406	67274200
decreasing	11700	411712	68439150
decreasing	11800	400913	69614100
decreasing	11900	421943	70799050
decreasing	12000	424414	71994000
decreasing	12100	441652	73198950
decreasing	12200	443201	74413900
decreasing	12300	449243	75638850
decreasing	12400	438377	76873800
decreasing	12500	454213	78118750
decreasing	12600	469828	79373700
decreasing	12700	455418	80638650
decreasing	12800	485104	81913600
decreasing	12900	486367	83198550
decreasing	13000	517428	84493500
decreasing	13100	499384	85798450
decreasing	13200	516377	87113400
decreasing	13300	516968	88438350
decreasing	13400	669371	89773300
decreasing	13500	539510	91118250
decreasing	13600	543689	92473200
decreasing	13700	554545	93838150
decreasing	13800	562440	95213100
decreasing	13900	696740	96598050
decreasing	14000	583571	97993000
decreasing	14100	575684	99397950
decreasing	14200	846170	100812900
decreasing	14300	978376	102237850
decreasing	14400	765240	103672800
decreasing	14500	914480	105117750
decreasing	14600	847441	106572700
decreasing	14700	913535	108037650
decreasing	14800	987787	109512600
decreasing	14900	969581	110997550
decreasing	15000	690152	112492500
decreasing	15100	689484	113997450
decreasing	15200	699960	115512400
decreasing	15300	692641	117037350
decreasing	15400	704660	118572300
decreasing	15500	742663	120117250
decreasing	15600	728869	121672200
decreasing	15700	737101	123237150
decreasing	15800	753479	124812100
decreasing	15900	768148	126397050
decreasing	16000	768114	127992000
decreasing	16100	766227	129596950
decreasing	16200	803283	131211900
decreasing	16300	796882	132836850
decreasing	16400	831668	134471800
decreasing	16500	802444	136116750
decreasing	16600	813800	137771700
decreasing	16700	828871	139436650
decreasing	16800	832298	141111600
decreasing	16900	831861	142796550
decreasing	17000	861224	144491500
decreasing	17100	878199	146196450
decreasing	17200	876934	147911400
decreasing	17300	878354	149636350
decreasing	17400	894049	151371300
decreasing	17500	918700	153116250
decreasing	17600	894808	154871200
decreasing	17700	926213	156636150
decreasing	17800	912323	158411100
decreasing	17900	954077	160196050
decreasing	18000	957015	161991000
decreasing	18100	1112856	163795950
decreasing	18200	1238221	165610900
decreasing	18300	1035101	167435850
decreasing	18400	1018929	169270800
decreasing	18500	1036040	171115750
decreasing	18600	1035200	172970700
decreasing	18700	1033172	174835650
decreasing	18800	1051947	176710600
decreasing	18900	1063558	178595550
decreasing	19000	1083913	180490500
decreasing	19100	1099225	182395450
decreasing	19200	1094108	184310400
decreasing	19300	1114468	186235350
decreasing	19400	1127005	188170300
decreasing	19500	1144524	190115250
decreasing	19600	1161353	192070200
decreasing	19700	1159441	194035150
decreasing	19800	1273760	196010100
decreasing	19900	1187238	197995050
decreasing	20000	1221262	199990000
