Type	Size	AverageTime(microsec)	Comparisons
random	100	0	2918
random	200	0	10806
random	300	0	21825
random	400	0	38279
random	500	333	59227
random	600	0	85771
random	700	0	122796
random	800	343	155952
random	900	676	208508
random	1000	644	251461
random	1100	946	302534
random	1200	999	352789
random	1300	642	430140
random	1400	1786	495052
random	1500	1016	567234
random	1600	1639	628593
random	1700	336	715517
random	1800	0	799077
random	1900	5389	910124
random	2000	1003	981001
random	2100	3583	1077255
random	2200	2705	1175764
random	2300	2667	1339128
random	2400	2037	1457768
random	2500	4684	1578982
random	2600	4041	1684212
random	2700	3762	1818788
random	2800	5239	1965652
random	2900	0	2107911
random	3000	1826	2230318
random	3100	2238	2438379
random	3200	2193	2554937
random	3300	5462	2747962
random	3400	6262	2985699
random	3500	3549	3036770
random	3600	11613	3222469
random	3700	7291	3478054
random	3800	7415	3597977
random	3900	6257	3793664
random	4000	10283	3940568
random	4100	3830	4183263
random	4200	7691	4357313
random	4300	10989	4672228
random	4400	11163	4840501
random	4500	10448	5085474
random	4600	10833	5329731
random	4700	9159	5564068
random	4800	12843	5892158
random	4900	11984	5978721
random	5000	11589	6222757
random	5100	15209	6490734
random	5200	12309	6740581
random	5300	15910	7110437
random	5400	15279	7309989
random	5500	16554	7520704
random	5600	16987	7811197
random	5700	16357	7985080
random	5800	16652	8434105
random	5900	16617	8805380
random	6000	21308	8952105
random	6100	31099	9224901
random	6200	20334	9713490
random	6300	19158	9971642
random	6400	24029	10040771
random	6500	19275	10595795
random	6600	22907	10819183
random	6700	21250	11181716
random	6800	27672	11612855
random	6900	24363	11983328
random	7000	24266	12210087
random	7100	21505	12557349
random	7200	27513	12899019
random	7300	29755	13122153
random	7400	26956	13714028
random	7500	27816	13923930
random	7600	31296	14460565
random	7700	32720	14751903
random	7800	30411	15135544
random	7900	31418	15529504
random	8000	31759	16007149
random	8100	32933	16214668
random	8200	33698	17006385
random	8300	32510	17538327
random	8400	37702	17526072
random	8500	36547	18069258
random	8600	37905	18567177
random	8700	35971	19121455
random	8800	38229	19521418
random	8900	39588	19638254
random	9000	44405	20266555
random	9100	41599	20642078
random	9200	41007	21465533
random	9300	44263	21748476
random	9400	44302	22267128
random	9500	44746	22237779
random	9600	44385	23228779
random	9700	44799	23542211
random	9800	49482	23917305
random	9900	44115	24591210
random	10000	49372	25067998
random	10100	50921	25344823
random	10200	49832	26085057
random	10300	49425	26501400
random	10400	56846	27050154
random	10500	57892	27728302
random	10600	51311	28020104
random	10700	56358	28655551
random	10800	54782	28722682
random	10900	60687	29682030
random	11000	61498	30621157
random	11100	57391	30771414
random	11200	58951	31403633
random	11300	60209	32258037
random	11400	62135	32609202
random	11500	67723	33213838
random	11600	65030	33730548
random	11700	70366	34321580
random	11800	67640	34566075
random	11900	68959	35533950
random	12000	66382	36145264
random	12100	67961	36602045
random	12200	72664	37287193
random	12300	73397	37294812
random	12400	73142	38646184
random	12500	77616	39195669
random	12600	83069	39696078
random	12700	77143	39998086
random	12800	88967	40815104
random	12900	77457	41308088
random	13000	83379	42218849
random	13100	88562	42644883
random	13200	86584	43378016
random	13300	84557	44517678
random	13400	88522	44532214
random	13500	88469	45225897
random	13600	88731	46195567
random	13700	93879	46689960
random	13800	94845	47801140
random	13900	96171	48541496
random	14000	95268	49113701
random	14100	98568	49539857
random	14200	103388	50793943
random	14300	99577	51012783
random	14400	97549	52062777
random	14500	104530	52918347
random	14600	103532	53461084
random	14700	108959	54295616
random	14800	104580	54917555
random	14900	104554	55064025
random	15000	114992	56315319
random	15100	107643	56602939
random	15200	109500	57218530
random	15300	119279	58390354
random	15400	113625	59479114
random	15500	120028	59928742
random	15600	124206	60920130
random	15700	118974	61976702
random	15800	125096	62366634
random	15900	123907	63090049
random	16000	126041	63699757
random	16100	130100	65080685
random	16200	130317	65709538
random	16300	131367	66380363
random	16400	134089	67019405
random	16500	130291	67756816
random	16600	135350	68531222
random	16700	140837	69205359
random	16800	140523	70862616
random	16900	140422	71233368
random	17000	145864	72248430
random	17100	145872	73529302
random	17200	145528	73816516
random	17300	146726	74767868
random	17400	150575	75870009
random	17500	150373	76401061
random	17600	156270	77664932
random	17700	156183	78044021
random	17800	156327	78838593
random	17900	161600	80130278
random	18000	166418	81462801
random	18100	161761	81334773
random	18200	166757	82551308
random	18300	168229	83126677
random	18400	169823	84742197
random	18500	174587	85575897
random	18600	174150	86417552
random	18700	179773	87161669
random	18800	175613	88272978
random	18900	178710	89723334
random	19000	187152	89535556
random	19100	182670	91177242
random	19200	187440	91897567
random	19300	203258	93445473
random	19400	187289	93904361
random	19500	192782	94459070
random	19600	192602	95811789
random	19700	192924	96347192
random	19800	195167	97633228
random	19900	204541	99179115
random	20000	202824	100428011
increasing	100	0	99
increasing	200	0	199
increasing	300	0	299
increasing	400	0	399
increasing	500	0	499
increasing	600	0	599
increasing	700	0	699
increasing	800	0	799
increasing	900	0	899
increasing	1000	0	999
increasing	1100	0	1099
increasing	1200	0	1199
increasing	1300	0	1299
increasing	1400	0	1399
increasing	1500	0	1499
increasing	1600	0	1599
increasing	1700	84	1699
increasing	1800	0	1799
increasing	1900	0	1899
increasing	2000	0	1999
increasing	2100	0	2099
increasing	2200	0	2199
increasing	2300	0	2299
increasing	2400	0	2399
increasing	2500	0	2499
increasing	2600	0	2599
increasing	2700	0	2699
increasing	2800	0	2799
increasing	2900	0	2899
increasing	3000	0	2999
increasing	3100	0	3099
increasing	3200	0	3199
increasing	3300	0	3299
increasing	3400	0	3399
increasing	3500	0	3499
increasing	3600	0	3599
