Type	Size	AverageTime(us)	Comparisons
random	1000	0	8745
random	2000	0	19385
random	3000	4323	30931
random	4000	1635	42806
random	5000	2528	55196
random	6000	2696	67803
random	7000	4947	80650
random	8000	2643	93662
random	9000	1692	107045
random	10000	6257	120446
random	11000	3223	134058
random	12000	5182	147553
random	13000	5745	161497
random	14000	6655	175320
random	15000	6076	189277
random	16000	4463	203293
random	17000	11006	217558
random	18000	6084	232100
random	19000	8151	246492
random	20000	9177	260771
random	21000	11949	275425
random	22000	10684	289969
random	23000	11296	304763
random	24000	10735	319422
random	25000	11231	334093
random	26000	11097	348969
random	27000	9292	363824
random	28000	11587	378757
random	29000	14524	393718
random	30000	11567	408576
random	31000	13171	423655
random	32000	16239	438529
random	33000	14664	453622
random	34000	17907	469193
random	35000	15228	484561
random	36000	17946	499964
random	37000	16461	515256
random	38000	18253	530867
random	39000	16532	546370
random	40000	18299	561645
random	41000	16716	577419
random	42000	22322	592901
random	43000	21787	608555
random	44000	22162	624117
random	45000	21802	639689
random	46000	22173	655152
random	47000	20003	671012
random	48000	19579	686529
random	49000	17212	702244
random	50000	20519	717977
random	51000	22496	734249
random	52000	22257	749816
random	53000	21257	765807
random	54000	25084	781589
random	55000	22265	797566
random	56000	22589	813425
random	57000	24931	829372
random	58000	22409	845277
random	59000	27738	861142
random	60000	22903	877133
random	61000	25158	893246
random	62000	27853	909241
random	63000	28184	925072
random	64000	23756	940997
random	65000	25441	957078
random	66000	26892	973331
random	67000	27852	990101
random	68000	31416	1006064
random	69000	31602	1022378
random	70000	32367	1038795
random	71000	34672	1055251
random	72000	34336	1071683
random	73000	33457	1088409
random	74000	36068	1104726
random	75000	36795	1121307
random	76000	36793	1137758
random	77000	36098	1154165
random	78000	38732	1170731
random	79000	38705	1186876
random	80000	39109	1203417
random	81000	36921	1220263
random	82000	38533	1236756
random	83000	37605	1253200
random	84000	38819	1269805
random	85000	39179	1286345
random	86000	39248	1303227
random	87000	39192	1319536
random	88000	38820	1336504
random	89000	39697	1352702
random	90000	43948	1369589
random	91000	44308	1386017
random	92000	44671	1402661
random	93000	39155	1419362
random	94000	44144	1436171
random	95000	44957	1452843
random	96000	38020	1469409
random	97000	44712	1486050
random	98000	44585	1502731
random	99000	49471	1519735
random	100000	50068	1536490
increasing	1000	0	5044
increasing	2000	0	11088
increasing	3000	3868	18076
increasing	4000	1022	24176
increasing	5000	2076	32004
increasing	6000	2395	39152
increasing	7000	322	46180
increasing	8000	5523	52352
increasing	9000	5251	60796
increasing	10000	4825	69008
increasing	11000	3426	77012
increasing	12000	0	84304
increasing	13000	10840	92036
increasing	14000	6551	99360
increasing	15000	5972	106364
increasing	16000	5565	112704
increasing	17000	3931	121188
increasing	18000	6017	130592
increasing	19000	6904	139580
increasing	20000	3882	148016
increasing	21000	7500	156508
increasing	22000	10062	165024
increasing	23000	8886	173052
increasing	24000	5542	180608
increasing	25000	7149	188476
increasing	26000	6483	197072
increasing	27000	11049	205068
increasing	28000	9790	212720
increasing	29000	10571	220044
increasing	30000	11378	227728
increasing	31000	10442	234708
increasing	32000	11414	241408
increasing	33000	11050	248588
increasing	34000	11826	259376
increasing	35000	15679	269364
increasing	36000	10951	279184
increasing	37000	12797	288292
increasing	38000	13269	298160
increasing	39000	16564	307140
increasing	40000	13183	316032
increasing	41000	13222	324084
increasing	42000	15771	334016
increasing	43000	16951	342996
increasing	44000	17976	352048
increasing	45000	13704	360124
increasing	46000	16668	369104
increasing	47000	16808	377212
increasing	48000	16858	385216
increasing	49000	16676	392388
increasing	50000	18581	401952
increasing	51000	21860	411140
increasing	52000	16271	420144
increasing	53000	22130	428364
increasing	54000	19261	437136
increasing	55000	22475	445436
increasing	56000	17450	453440
increasing	57000	22190	460780
increasing	58000	19386	469088
increasing	59000	21581	477452
increasing	60000	22306	485456
increasing	61000	22554	492868
increasing	62000	27446	500416
increasing	63000	27323	507860
increasing	64000	27357	514816
increasing	65000	23158	521372
increasing	66000	21301	530176
increasing	67000	22328	541748
increasing	68000	22522	552752
increasing	69000	22327	563356
increasing	70000	22049	573728
increasing	71000	26187	584388
increasing	72000	23745	594368
increasing	73000	27291	604068
increasing	74000	31831	613584
increasing	75000	22219	624316
increasing	76000	24522	634320
increasing	77000	28544	644116
increasing	78000	24092	653280
increasing	79000	30140	663108
increasing	80000	29616	672064
increasing	81000	29976	680956
