Type	Size	AverageTime(microsec)	Comparisons
random	1000	2133	16010
random	2000	334	32849
random	3000	0	53546
random	4000	905	78142
random	5000	0	97863
random	6000	0	120248
random	7000	0	144384
random	8000	4108	168475
random	9000	1444	185377
random	10000	0	218788
random	11000	1448	255068
random	12000	1717	267971
random	13000	1022	303040
random	14000	3811	308384
random	15000	805	338431
random	16000	4179	368116
random	17000	3014	391731
random	18000	642	419680
random	19000	5271	443664
random	20000	3868	476194
random	21000	0	499180
random	22000	2532	515698
random	23000	4336	541719
random	24000	5158	576361
random	25000	5501	596022
random	26000	5707	650651
random	27000	5358	673494
random	28000	5550	664506
random	29000	5488	741299
random	30000	6014	759806
random	31000	6778	757044
random	32000	4868	780605
random	33000	4355	808682
random	34000	5491	844653
random	35000	5651	859687
random	36000	5530	909988
random	37000	3635	891318
random	38000	5850	951775
random	39000	3921	964073
random	40000	6527	1035819
random	41000	5326	1012761
random	42000	6578	1047330
random	43000	9382	1065321
random	44000	5923	1271238
random	45000	6087	1164362
random	46000	7443	1125894
random	47000	9295	1242653
random	48000	5478	1209186
random	49000	5601	1303226
random	50000	5632	1284958
random	51000	5855	1302811
random	52000	6182	1369140
random	53000	5898	1407045
random	54000	9295	1388423
random	55000	6218	1411099
random	56000	9130	1514986
random	57000	10416	1432034
random	58000	10906	1565542
random	59000	9644	1539013
random	60000	9944	1555253
random	61000	10901	1628161
random	62000	6221	1665542
random	63000	20179	1628294
random	64000	10661	1664664
random	65000	11259	1716312
random	66000	10567	1773943
random	67000	11431	1804060
random	68000	10752	1813725
random	69000	10922	1860094
random	70000	11251	1877663
random	71000	12727	1901142
random	72000	11474	1927016
random	73000	11182	1892523
random	74000	11109	1936390
random	75000	11047	2028626
random	76000	12937	2033019
random	77000	12826	2048475
random	78000	12895	2126170
random	79000	10860	2144419
random	80000	13024	2146441
random	81000	13012	2222484
random	82000	12870	2204630
random	83000	16990	2349442
random	84000	16803	2333974
random	85000	7689	2366670
random	86000	12748	2362157
random	87000	17380	2512731
random	88000	13386	2393915
random	89000	15715	2625124
random	90000	18082	2449671
random	91000	12742	2539878
random	92000	16610	2559658
random	93000	12804	2498745
random	94000	18397	2581898
random	95000	16748	2573769
random	96000	12494	2665694
random	97000	18093	2756543
random	98000	16773	2756406
random	99000	16681	2769800
random	100000	16772	2740132
increasing	1000	0	458301
increasing	2000	5464	1806713
increasing	3000	12192	4136726
increasing	4000	15106	7153540
increasing	5000	27841	11324963
increasing	6000	36646	16236722
increasing	7000	49579	21971036
increasing	8000	70872	28946511
increasing	9000	83219	36218649
increasing	10000	98638	45217547
increasing	11000	125962	54359201
increasing	12000	146568	64758040
increasing	13000	177501	76268577
increasing	14000	203836	88189214
increasing	15000	229646	101068729
increasing	16000	261746	114691201
increasing	17000	303633	129620844
increasing	18000	338837	146656399
increasing	19000	376722	162722132
increasing	20000	407872	180409964
decreasing	1000	5187	440633
decreasing	2000	5568	1812759
decreasing	3000	5913	4149029
decreasing	4000	13114	7116344
decreasing	5000	22627	11393908
decreasing	6000	38479	16158674
decreasing	7000	49482	22080263
decreasing	8000	70900	29103659
decreasing	9000	83396	36566534
decreasing	10000	102978	45410581
decreasing	11000	126858	55196711
decreasing	12000	151728	65192805
decreasing	13000	167329	76159434
decreasing	14000	198665	88325516
decreasing	15000	229503	101404423
decreasing	16000	261522	115120780
decreasing	17000	302710	130417902
decreasing	18000	334436	147677654
decreasing	19000	376672	162759873
decreasing	20000	413449	181903457
