Type	Size	AverageTime(microsec)	Comparisons
random	1000	0	15547
random	2000	0	34178
random	3000	0	55043
random	4000	3699	78207
random	5000	510	98827
random	6000	644	120501
random	7000	720	145668
random	8000	1662	165127
random	9000	1107	188055
random	10000	1419	209137
random	11000	2060	238540
random	12000	542	261437
random	13000	4652	285626
random	14000	2746	309030
random	15000	1380	330407
random	16000	5335	363439
random	17000	4212	381942
random	18000	3993	399720
random	19000	0	439659
random	20000	2567	456824
random	21000	4611	503551
random	22000	5273	509506
random	23000	4922	563321
random	24000	5603	580420
random	25000	5405	585840
random	26000	6350	618784
random	27000	5860	645633
random	28000	2748	675627
random	29000	2305	684266
random	30000	4196	720751
random	31000	5491	740078
random	32000	9035	767258
random	33000	5629	795986
random	34000	5759	812703
random	35000	5544	845475
random	36000	5813	879320
random	37000	8512	903750
random	38000	6060	938343
random	39000	9313	948883
random	40000	5872	1009225
random	41000	7850	991423
random	42000	5480	1029599
random	43000	6948	1061162
random	44000	4441	1090496
random	45000	4377	1118429
random	46000	6295	1133990
random	47000	7709	1170506
random	48000	10655	1202649
random	49000	7314	1213254
random	50000	12968	1252856
random	51000	7187	1290498
random	52000	8290	1346121
random	53000	10680	1357554
random	54000	6307	1385859
random	55000	14046	1393226
random	56000	7391	1425310
random	57000	9686	1467655
random	58000	7335	1473803
random	59000	8306	1515188
random	60000	16485	1545998
random	61000	13947	1550010
random	62000	12928	1611639
random	63000	12746	1619096
random	64000	14502	1663284
random	65000	11447	1699387
random	66000	7390	1718640
random	67000	7226	1758834
random	68000	13998	1768400
random	69000	12409	1797986
random	70000	21719	1886682
random	71000	11118	1849105
random	72000	14507	1924776
random	73000	8965	1915204
random	74000	14253	1944059
random	75000	9687	1962291
random	76000	13646	1992778
random	77000	14434	2060753
random	78000	17688	2024680
random	79000	12850	2087767
random	80000	16219	2157173
random	81000	17645	2138378
random	82000	16595	2243813
random	83000	12769	2202990
random	84000	16834	2225964
random	85000	8677	2340473
random	86000	16664	2346087
random	87000	18421	2366252
random	88000	16041	2436012
random	89000	18348	2408111
random	90000	17003	2424096
random	91000	13473	2626139
random	92000	16626	2498744
random	93000	16608	2519557
random	94000	18821	2597003
random	95000	18504	2585866
random	96000	16787	2591729
random	97000	16920	2621994
random	98000	16995	2689456
random	99000	16786	2734031
random	100000	17092	2695982
increasing	1000	0	10725
increasing	2000	0	23394
increasing	3000	0	38761
increasing	4000	0	50947
increasing	5000	0	66617
increasing	6000	0	82985
increasing	7000	337	96682
increasing	8000	0	110077
increasing	9000	1141	126103
increasing	10000	666	143452
increasing	11000	342	162263
increasing	12000	1253	177911
increasing	13000	665	193163
increasing	14000	0	207692
increasing	15000	1074	221976
increasing	16000	156	236164
increasing	17000	0	252206
increasing	18000	965	270205
increasing	19000	1382	289879
increasing	20000	974	307483
increasing	21000	2758	325156
increasing	22000	785	344382
increasing	23000	3495	363957
increasing	24000	536	381844
increasing	25000	3701	397883
increasing	26000	1089	412351
increasing	27000	3819	428756
increasing	28000	0	442808
increasing	29000	4729	458236
increasing	30000	2622	473341
increasing	31000	1134	488676
increasing	32000	3800	503912
increasing	33000	2338	520191
increasing	34000	2213	538678
increasing	35000	4124	558807
increasing	36000	1072	576359
increasing	37000	4523	595957
increasing	38000	3060	619017
increasing	39000	3452	673377
increasing	40000	299	655441
increasing	41000	5763	675241
increasing	42000	3990	692959
increasing	43000	3679	712326
increasing	44000	0	731570
increasing	45000	2413	751648
increasing	46000	5533	770901
increasing	47000	4584	791293
increasing	48000	5199	809522
increasing	49000	4963	829343
increasing	50000	5474	844982
increasing	51000	5184	862682
increasing	52000	4975	880439
increasing	53000	651	894100
increasing	54000	4098	910494
increasing	55000	4075	927071
increasing	56000	4947	943027
increasing	57000	5455	958676
increasing	58000	5648	973828
increasing	59000	5431	990739
increasing	60000	5700	1006560
increasing	61000	2426	1022879
increasing	62000	2360	1070132
increasing	63000	1707	1059074
increasing	64000	641	1071795
increasing	65000	5419	1089588
increasing	66000	5422	1106790
increasing	67000	5985	1129194
increasing	68000	2267	1148806
increasing	69000	661	1176568
increasing	70000	5928	1185938
increasing	71000	5873	1210676
increasing	72000	2093	1225363
increasing	73000	4128	1248065
increasing	74000	5654	1267613
increasing	75000	7402	1288770
increasing	76000	3957	1306124
increasing	77000	3495	1329381
increasing	78000	2253	1347544
increasing	79000	5655	1370226
increasing	80000	2064	1388218
increasing	81000	3743	1410626
increasing	82000	2725	1429138
increasing	83000	3350	1452011
increasing	84000	1952	1473011
increasing	85000	3648	1490306
increasing	86000	4767	1512679
increasing	87000	5467	1531859
increasing	88000	5611	1553764
increasing	89000	4666	1571705
increasing	90000	4424	1598280
increasing	91000	5435	1617276
increasing	92000	4908	1634937
increasing	93000	5388	1660968
increasing	94000	3209	1674744
increasing	95000	3620	1692740
increasing	96000	5768	1714544
increasing	97000	5343	1732072
increasing	98000	5635	1756688
increasing	99000	5724	1773309
increasing	100000	5416	1790584
decreasing	1000	0	11753
decreasing	2000	0	26543
decreasing	3000	0	41491
decreasing	4000	0	55433
decreasing	5000	0	71726
decreasing	6000	0	89002
decreasing	7000	338	103740
decreasing	8000	341	117968
decreasing	9000	0	135161
decreasing	10000	337	153267
decreasing	11000	889	173259
decreasing	12000	647	191633
decreasing	13000	0	206303
decreasing	14000	2654	221590
decreasing	15000	377	237373
decreasing	16000	2061	251786
decreasing	17000	714	269710
decreasing	18000	1033	288039
decreasing	19000	1194	307867
decreasing	20000	782	327244
decreasing	21000	3530	346689
decreasing	22000	278	366259
decreasing	23000	3624	385854
decreasing	24000	244	404103
decreasing	25000	4379	422012
decreasing	26000	0	441980
decreasing	27000	4156	455000
decreasing	28000	2308	470825
decreasing	29000	2425	486674
decreasing	30000	4095	503677
decreasing	31000	0	534533
decreasing	32000	5954	537394
