Type	Size	AverageTime(microsec)	Comparisons
random	1000	0	16854
random	2000	0	37687
random	3000	667	60259
random	4000	1200	83424
random	5000	0	107662
random	6000	3380	132506
random	7000	1756	157613
random	8000	2311	182736
random	9000	2027	208779
random	10000	4123	235474
random	11000	3440	261984
random	12000	4138	288815
random	13000	535	315869
random	14000	3362	342957
random	15000	1664	370350
random	16000	2698	397745
random	17000	2930	425673
random	18000	2502	453491
random	19000	5009	482198
random	20000	5321	510645
random	21000	3550	539177
random	22000	6236	568040
random	23000	6684	596915
random	24000	6565	625906
random	25000	5105	654900
random	26000	7561	683944
random	27000	9787	713144
random	28000	5616	742252
random	29000	6305	771582
random	30000	7914	800815
random	31000	11242	829960
random	32000	10822	859281
random	33000	9573	888822
random	34000	10042	919056
random	35000	7072	949412
random	36000	9591	979684
random	37000	10438	1009908
random	38000	10604	1040450
random	39000	11416	1070655
random	40000	11936	1101473
random	41000	14721	1132054
random	42000	12259	1162739
random	43000	13127	1193833
random	44000	15127	1224157
random	45000	14174	1255112
random	46000	13415	1286514
random	47000	12382	1316691
random	48000	15375	1347438
random	49000	16184	1378628
random	50000	16521	1409953
random	51000	16934	1440655
random	52000	18236	1472035
random	53000	16631	1502980
random	54000	13990	1534150
random	55000	16191	1565364
random	56000	18190	1596613
random	57000	16581	1628192
random	58000	16889	1659005
random	59000	18462	1690280
random	60000	16576	1721454
random	61000	16696	1752816
random	62000	22088	1783931
random	63000	18686	1814943
random	64000	21398	1846662
random	65000	15596	1877964
random	66000	22539	1909594
random	67000	16846	1941845
random	68000	22335	1974000
random	69000	22205	2006285
random	70000	21813	2038637
random	71000	22236	2070763
random	72000	22638	2102521
random	73000	22818	2135227
random	74000	19003	2167655
random	75000	22193	2200338
random	76000	25816	2232746
random	77000	19313	2265023
random	78000	24383	2297820
random	79000	24542	2329988
random	80000	26424	2363372
random	81000	21884	2395291
random	82000	21701	2428419
random	83000	23758	2460917
random	84000	26588	2493450
random	85000	38929	2526337
random	86000	30707	2559413
random	87000	28435	2592028
random	88000	28256	2624983
random	89000	23853	2657046
random	90000	23140	2690184
random	91000	28602	2723434
random	92000	29570	2756091
random	93000	33780	2789021
random	94000	30342	2821950
random	95000	31602	2854633
random	96000	31865	2887391
random	97000	31822	2919937
random	98000	29359	2953866
random	99000	35166	2986135
random	100000	33847	3019881
increasing	1000	0	17573
increasing	2000	0	39190
increasing	3000	0	62846
increasing	4000	4412	86584
increasing	5000	1226	112117
increasing	6000	1002	137888
increasing	7000	1566	163611
increasing	8000	1510	189377
increasing	9000	3177	216766
increasing	10000	2554	244458
increasing	11000	5458	272216
increasing	12000	3512	299983
increasing	13000	0	327684
increasing	14000	6281	355421
increasing	15000	4614	383136
increasing	16000	5606	410930
increasing	17000	5539	439910
increasing	18000	5599	469597
increasing	19000	5481	499365
increasing	20000	5578	529120
increasing	21000	6069	558906
increasing	22000	2314	588643
increasing	23000	5782	618350
increasing	24000	3931	648095
increasing	25000	10780	677802
increasing	26000	5794	707591
increasing	27000	9444	737317
increasing	28000	5552	767135
increasing	29000	7426	796909
increasing	30000	9178	826574
increasing	31000	5547	856331
increasing	32000	6755	886106
increasing	33000	8152	916286
increasing	34000	14349	947944
increasing	35000	8703	979772
increasing	36000	11237	1011563
increasing	37000	10973	1043277
increasing	38000	7653	1075013
increasing	39000	7777	1106838
increasing	40000	10362	1138498
increasing	41000	11312	1170286
increasing	42000	11002	1202079
increasing	43000	11607	1233807
increasing	44000	11073	1265512
increasing	45000	10738	1297269
increasing	46000	12916	1329108
increasing	47000	15607	1360917
increasing	48000	15029	1392634
increasing	49000	15944	1424303
increasing	50000	12806	1455998
increasing	51000	12767	1487823
increasing	52000	12907	1519658
increasing	53000	12734	1551243
increasing	54000	12694	1583072
increasing	55000	16326	1614981
increasing	56000	16705	1646648
increasing	57000	18326	1678287
increasing	58000	13416	1710111
increasing	59000	16740	1741782
increasing	60000	18348	1773578
increasing	61000	16343	1805407
increasing	62000	18475	1837039
increasing	63000	16661	1868879
increasing	64000	18319	1900716
increasing	65000	16697	1932300
increasing	66000	16972	1965146
increasing	67000	16773	1998777
increasing	68000	22394	2032569
increasing	69000	16769	2066376
increasing	70000	17168	2100233
increasing	71000	21760	2133854
increasing	72000	20555	2167557
increasing	73000	19157	2201369
increasing	74000	16675	2235276
increasing	75000	22305	2268955
increasing	76000	26399	2302825
increasing	77000	20036	2336614
increasing	78000	21256	2370319
increasing	79000	21149	2404079
increasing	80000	18232	2437752
increasing	81000	25461	2471584
increasing	82000	35771	2505457
increasing	83000	26562	2539143
increasing	84000	28400	2572957
increasing	85000	23279	2606708
increasing	86000	25396	2640453
increasing	87000	24460	2674335
increasing	88000	24610	2707977
increasing	89000	22435	2741806
increasing	90000	20380	2775432
increasing	91000	25850	2809388
increasing	92000	22161	2842854
increasing	93000	23411	2876928
increasing	94000	26144	2910627
increasing	95000	27440	2944276
increasing	96000	27138	2978195
increasing	97000	29526	3011821
increasing	98000	23674	3045747
increasing	99000	24834	3079478
increasing	100000	27766	3113139
decreasing	1000	0	15967
decreasing	2000	332	35978
decreasing	3000	481	57540
decreasing	4000	559	80127
decreasing	5000	991	103201
decreasing	6000	1663	126906
decreasing	7000	822	151389
decreasing	8000	2858	176057
decreasing	9000	2532	201236
decreasing	10000	3326	226675
decreasing	11000	1695	252448
decreasing	12000	5432	278211
decreasing	13000	3454	304594
decreasing	14000	601	331114
decreasing	15000	6173	357805
decreasing	16000	4808	384268
decreasing	17000	5742	411246
decreasing	18000	5369	438605
decreasing	19000	5523	466454
decreasing	20000	5762	493344
decreasing	21000	6447	522078
decreasing	22000	2297	548580
decreasing	23000	4700	577530
decreasing	24000	5520	604217
decreasing	25000	6086	633731
decreasing	26000	6437	661065
decreasing	27000	3388	691420
decreasing	28000	11752	718624
decreasing	29000	5626	748789
decreasing	30000	5754	775637
decreasing	31000	7693	805700
decreasing	32000	10290	833080
decreasing	33000	9900	862949
decreasing	34000	8824	890963
decreasing	35000	9066	921770
decreasing	36000	9231	949382
decreasing	37000	8839	980942
decreasing	38000	9726	1008705
decreasing	39000	9258	1039820
decreasing	40000	12899	1067752
decreasing	41000	7548	1099247
decreasing	42000	10385	1127226
decreasing	43000	11159	1158726
decreasing	44000	14378	1186328
decreasing	45000	11417	1218073
decreasing	46000	14928	1245800
decreasing	47000	11067	1277700
decreasing	48000	11395	1305782
decreasing	49000	10840	1337314
decreasing	50000	12790	1366041
decreasing	51000	13067	1398505
decreasing	52000	15659	1426741
