Type	Size	AverageTime(microsec)	Comparisons
random	1000	0	16143
random	2000	0	34207
random	3000	329	53005
random	4000	652	77661
random	5000	666	97739
random	6000	700	117137
random	7000	1473	144605
random	8000	666	176105
random	9000	1725	196534
random	10000	1413	215080
random	11000	1586	240840
random	12000	0	273076
random	13000	5578	281547
random	14000	3420	306278
random	15000	2577	332218
random	16000	3333	363202
random	17000	4234	398008
random	18000	731	418904
random	19000	3919	460952
random	20000	5716	467012
random	21000	5219	486984
random	22000	4973	508770
random	23000	4912	565203
random	24000	4890	578635
random	25000	5479	589781
random	26000	5695	637718
random	27000	5403	642544
random	28000	9178	688409
random	29000	5160	695621
random	30000	4761	719843
random	31000	3935	774150
random	32000	5387	777790
random	33000	6493	810228
random	34000	5663	849650
random	35000	3787	863031
random	36000	5594	894011
random	37000	3733	914027
random	38000	6405	973477
random	39000	4678	998408
random	40000	6772	1009542
random	41000	4016	1006942
random	42000	7782	1073295
random	43000	6840	1108098
random	44000	9041	1099639
random	45000	8576	1162038
random	46000	5699	1197333
random	47000	5581	1192295
random	48000	7353	1236154
random	49000	8068	1237607
random	50000	8632	1255132
random	51000	7581	1320524
random	52000	7026	1322412
random	53000	7574	1373291
random	54000	7111	1472833
random	55000	8950	1444758
random	56000	9646	1482544
random	57000	11181	1520317
random	58000	7367	1539451
random	59000	9925	1553940
random	60000	10581	1576884
random	61000	7845	1628972
random	62000	12668	1628699
random	63000	7877	1638707
random	64000	11494	1714851
random	65000	11277	1855013
random	66000	10899	1776731
random	67000	11287	1754703
random	68000	12466	1875754
random	69000	11719	1819334
random	70000	13900	1851156
random	71000	10841	1892681
random	72000	17473	2015427
random	73000	15930	1943429
random	74000	14403	1951181
random	75000	9605	1999756
random	76000	11006	2075651
random	77000	16246	2114324
random	78000	15317	2180202
random	79000	13177	2101234
random	80000	13197	2166601
random	81000	13141	2170959
random	82000	12834	2248622
random	83000	16544	2223758
random	84000	13393	2269923
random	85000	12086	2323850
random	86000	14479	2371591
random	87000	18373	2348000
random	88000	16631	2401119
random	89000	16787	2479214
random	90000	16711	2428535
random	91000	13472	2518456
random	92000	16665	2542069
random	93000	16701	2541002
random	94000	18456	2671133
random	95000	18440	2576148
random	96000	16611	2726198
random	97000	16379	2608892
random	98000	16167	2774228
random	99000	18159	2873961
random	100000	16772	2734539
increasing	1000	0	12125
increasing	2000	0	25626
increasing	3000	0	45621
increasing	4000	334	56170
increasing	5000	335	77319
increasing	6000	374	86058
increasing	7000	1022	114317
increasing	8000	639	138480
increasing	9000	523	164786
increasing	10000	679	164071
increasing	11000	0	187833
increasing	12000	1013	199489
increasing	13000	784	227966
increasing	14000	695	240948
increasing	15000	1258	268282
