Type	Size	AverageTime(microsec)	DigitOperations
random	1000	0	12036
random	2000	0	24036
random	3000	332	36036
random	4000	331	48036
random	5000	332	60036
random	6000	663	72036
random	7000	666	84036
random	8000	666	96036
random	9000	1004	108036
random	10000	669	150045
random	11000	2002	165045
random	12000	1407	180045
random	13000	1247	195045
random	14000	1607	210045
random	15000	3552	225045
random	16000	700	240045
random	17000	4538	255045
random	18000	4057	270045
random	19000	261	285045
random	20000	5793	300045
random	21000	2024	315045
random	22000	374	330045
random	23000	6032	345045
random	24000	4046	360045
random	25000	5653	375045
random	26000	4141	390045
random	27000	2773	405045
random	28000	2471	420045
random	29000	5756	435045
random	30000	2689	450045
random	31000	3054	465045
random	32000	3574	480045
random	33000	2656	495045
random	34000	0	510045
random	35000	3027	525045
random	36000	6903	540045
random	37000	4134	555045
random	38000	1691	570045
random	39000	4958	585045
random	40000	4045	600045
random	41000	2685	615045
random	42000	2322	630045
random	43000	4253	645045
random	44000	8976	660045
random	45000	6933	675045
random	46000	6894	690045
random	47000	5173	705045
random	48000	5737	720045
random	49000	5998	735045
random	50000	5312	750045
random	51000	3647	765045
random	52000	6199	780045
random	53000	6474	795045
random	54000	5060	810045
random	55000	4406	825045
random	56000	7916	840045
random	57000	4136	855045
random	58000	6176	870045
random	59000	3918	885045
random	60000	7705	900045
random	61000	3394	915045
random	62000	4578	930045
random	63000	12924	945045
random	64000	7082	960045
random	65000	7045	975045
random	66000	8561	990045
random	67000	6384	1005045
random	68000	10646	1020045
random	69000	6518	1035045
random	70000	8731	1050045
random	71000	9333	1065045
random	72000	6636	1080045
random	73000	5871	1095045
random	74000	10068	1110045
random	75000	8145	1125045
random	76000	5528	1140045
random	77000	5257	1155045
random	78000	11926	1170045
random	79000	7130	1185045
random	80000	11884	1200045
random	81000	16394	1215045
random	82000	12496	1230045
random	83000	11894	1245045
random	84000	8738	1260045
random	85000	10000	1275045
random	86000	8562	1290045
random	87000	12866	1305045
random	88000	12592	1320045
random	89000	11450	1335045
random	90000	11769	1350045
random	91000	7853	1365045
random	92000	5832	1380045
random	93000	11184	1395045
random	94000	10198	1410045
random	95000	8996	1425045
random	96000	8877	1440045
random	97000	11261	1455045
random	98000	10342	1470045
random	99000	7280	1485045
random	100000	9336	1500045
increasing	1000	0	12036
increasing	2000	477	24036
increasing	3000	666	45045
increasing	4000	0	60045
increasing	5000	0	75045
increasing	6000	2921	90045
increasing	7000	670	105045
increasing	8000	874	120045
increasing	9000	2056	135045
increasing	10000	0	150045
increasing	11000	1078	165045
increasing	12000	1542	180045
increasing	13000	1745	195045
increasing	14000	1702	210045
increasing	15000	0	225045
increasing	16000	4669	240045
increasing	17000	1665	255045
increasing	18000	2226	270045
increasing	19000	2002	285045
increasing	20000	2502	300045
increasing	21000	3336	315045
increasing	22000	3377	330045
increasing	23000	4348	414054
increasing	24000	4141	432054
increasing	25000	3026	450054
increasing	26000	4690	468054
increasing	27000	2694	486054
increasing	28000	2044	504054
increasing	29000	5599	522054
increasing	30000	5824	540054
increasing	31000	2234	558054
increasing	32000	6151	576054
increasing	33000	5131	594054
increasing	34000	7455	612054
increasing	35000	2945	630054
increasing	36000	7507	648054
increasing	37000	4303	666054
increasing	38000	1938	684054
increasing	39000	4114	702054
increasing	40000	5260	720054
increasing	41000	4407	738054
increasing	42000	6523	756054
increasing	43000	5487	774054
increasing	44000	7272	792054
increasing	45000	5421	810054
increasing	46000	5255	828054
increasing	47000	3660	846054
increasing	48000	5316	864054
increasing	49000	3637	882054
increasing	50000	9550	900054
increasing	51000	5690	918054
increasing	52000	4221	936054
increasing	53000	5682	954054
increasing	54000	5860	972054
increasing	55000	5802	990054
increasing	56000	4862	1008054
increasing	57000	6273	1026054
increasing	58000	6489	1044054
increasing	59000	3872	1062054
increasing	60000	5290	1080054
increasing	61000	6775	1098054
increasing	62000	7245	1116054
increasing	63000	8568	1134054
increasing	64000	7612	1152054
increasing	65000	8038	1170054
increasing	66000	9959	1188054
increasing	67000	9783	1206054
increasing	68000	7871	1224054
increasing	69000	8086	1242054
increasing	70000	12783	1260054
increasing	71000	9317	1278054
increasing	72000	15170	1296054
increasing	73000	21441	1314054
increasing	74000	11076	1332054
increasing	75000	11536	1350054
increasing	76000	10782	1368054
increasing	77000	11652	1386054
increasing	78000	14311	1404054
increasing	79000	14358	1422054
increasing	80000	15719	1440054
increasing	81000	16327	1458054
increasing	82000	15823	1476054
increasing	83000	10055	1494054
increasing	84000	12137	1512054
increasing	85000	10312	1530054
increasing	86000	12835	1548054
increasing	87000	14102	1566054
increasing	88000	12515	1584054
increasing	89000	12719	1602054
increasing	90000	12219	1620054
increasing	91000	12000	1638054
increasing	92000	12577	1656054
increasing	93000	11347	1674054
increasing	94000	12691	1692054
increasing	95000	8435	1710054
increasing	96000	15197	1728054
increasing	97000	10363	1746054
increasing	98000	11825	1764054
increasing	99000	10430	1782054
increasing	100000	12641	1800054
decreasing	1000	0	15045
decreasing	2000	0	30045
decreasing	3000	0	45045
decreasing	4000	0	60045
decreasing	5000	3078	90054
decreasing	6000	677	108054
decreasing	7000	906	126054
decreasing	8000	972	144054
decreasing	9000	0	162054
decreasing	10000	935	180054
decreasing	11000	1328	198054
decreasing	12000	1303	216054
decreasing	13000	1999	234054
decreasing	14000	1995	252054
